jurisdiction,state,county
DAVIS,CA,YOLO COUNTY
DEL MAR,CA,SAN DIEGO COUNTY
DEL REY OAKS,CA,MONTEREY COUNTY
DELANO,CA,KERN COUNTY
DESERT HOT SPRINGS,CA,RIVERSIDE COUNTY
DIAMOND BAR,CA,LOS ANGELES COUNTY
DINUBA,CA,TULARE COUNTY
DIXON,CA,SOLANO COUNTY
DOS PALOS,CA,MERCED COUNTY
DOWNEY,CA,LOS ANGELES COUNTY
DUARTE,CA,LOS ANGELES COUNTY
DUBLIN,CA,ALAMEDA COUNTY
EAST PALO ALTO,CA,SAN MATEO COUNTY
EASTVALE,CA,RIVERSIDE COUNTY
EL CAJON,CA,SAN DIEGO COUNTY
EL CENTRO,CA,IMPERIAL COUNTY
EL CERRITO,CA,CONTRA COSTA COUNTY
EL DORADO COUNTY UNINCORPORATED AREA,CA,EL DORADO COUNTY
EL MONTE,CA,LOS ANGELES COUNTY
EL SEGUNDO,CA,LOS ANGELES COUNTY
ELDORADO COUNTY UNINCORPORATED AREA,CA,EL DORADO COUNTY
ELK GROVE,CA,SACRAMENTO COUNTY
EMERYVILLE,CA,ALAMEDA COUNTY
ENCINITAS,CA,SAN DIEGO COUNTY
ESCALON,CA,SAN JOAQUIN COUNTY
ESCONDIDO,CA,SAN DIEGO COUNTY
EXETER,CA,TULARE COUNTY
FAIRFAX TOWN,CA,MARIN COUNTY
FAIRFIELD,CA,SOLANO COUNTY
FARMERSVILLE,CA,TULARE COUNTY
FILLMORE,CA,VENTURA COUNTY
FIREBAUGH,CA,FRESNO COUNTY
FOLSOM,CA,SACRAMENTO COUNTY
FONTANA,CA,SAN BERNARDINO COUNTY
FOSTER CITY,CA,SAN MATEO COUNTY
FOUNTAIN VALLEY,CA,ORANGE COUNTY
FOWLER,CA,FRESNO COUNTY
FREMONT,CA,ALAMEDA COUNTY
FRESNO,CA,FRESNO COUNTY
FRESNO COUNTY UNINCORPORATED AREA,CA,FRESNO COUNTY
FULLERTON,CA,ORANGE COUNTY
GALT,CA,SACRAMENTO COUNTY
GARDEN GROVE,CA,ORANGE COUNTY
GARDENA,CA,LOS ANGELES COUNTY
GILROY,CA,SANTA CLARA COUNTY
GLENDALE,CA,LOS ANGELES COUNTY
GLENDORA,CA,LOS ANGELES COUNTY
GOLETA,CA,SANTA BARBARA COUNTY
GONZALES,CA,MONTEREY COUNTY
GRAND TERRACE,CA,SAN BERNARDINO COUNTY
GREENFIELD,CA,MONTEREY COUNTY
GRIDLEY,CA,BUTTE COUNTY
GROVER BEACH,CA,SAN LUIS OBISPO COUNTY
GUADALUPE,CA,SANTA BARBARA COUNTY
GUSTINE,CA,MERCED COUNTY
HALF MOON BAY,CA,SAN MATEO COUNTY
HANFORD,CA,KINGS COUNTY
HAWAIIAN GARDENS,CA,LOS ANGELES COUNTY
HAWTHORNE,CA,LOS ANGELES COUNTY
HAYWARD,CA,ALAMEDA COUNTY
HEALDSBURG,CA,SONOMA COUNTY
HEMET,CA,RIVERSIDE COUNTY
